gender,age
male,65
male,59
male,40
male,56
male,70
male,69
male,50
male,70
male,57
male,55
male,56
male,58
male,35
male,59
male,65
male,59
male,60
male,56
male,30
male,65
male,65
male,60
male,58
male,39
male,65
male,76
male,67
male,49
male,50
male,49
male,75
male,46
male,47
male,40
male,39
male,50
male,47
female,68
male,66
male,46
male,45
female,39
male,45
male,39
female,49
male,58
male,60
male,50
male,38
male,38
male,69
male,49
male,36
male,40
male,57
male,45
male,69
female,50
male,40
female,49
female,66
male,47
male,39
male,47
male,38
male,50
male,100
male,38
male,49
male,48
female,40
male,35
male,48
male,58
male,26
male,40
female,55
male,47
male,68
male,50
male,36
female,38
male,69
female,45
male,70
male,45
male,39
male,35
male,68
male,69
male,38
male,50
male,46
male,57
male,110
male,35
male,48
male,46
male,50
male,37
male,67
female,39
male,59
male,67
female,50
male,48
male,59
male,38
male,57
female,25
male,40
male,48
male,40
male,58
female,37
female,79
male,28
male,48
female,39
male,60
male,48
male,60
male,56
male,50
male,49
male,58
male,67
male,45
male,55
male,48
male,55
male,48
male,47
male,79
male,36
male,36
male,59
male,46
male,105
male,28
male,48
male,40
male,37
male,45
male,50
male,36
male,70
male,48
male,55
male,57
male,30
male,45
male,36
male,49
male,39
male,50
male,55
male,38
male,38
female,35
male,48
male,38
male,36
male,45
male,48
female,38
male,45
male,46
male,37
male,50
male,47
male,55
male,40
male,48
male,39
male,66
male,45
male,46
male,47
male,60
male,47
male,46
female,67
male,69
male,59
male,47
male,46
male,68
female,39
male,50
male,38
male,56
male,48
male,45
male,65
male,46
male,67
male,26
male,37
male,48
male,40
male,49
male,47
female,36
male,28
male,45
male,45
male,36
female,50
male,40
male,48
male,50
male,57
female,56
male,57
male,39
male,105
male,39
male,57
male,46
male,37
male,45
male,46
male,66
male,38
male,49
male,37
male,55
male,45
male,38
male,50
male,46
male,59
male,46
male,40
male,35
male,55
male,46
male,50
male,39
male,46
male,36
female,50
male,59
male,45
male,70
male,49
male,39
male,58
male,58
male,38
male,65
male,39
male,48
male,36
male,45
female,55
male,38
male,39
male,37
female,35
male,50
male,46
male,39
male,35
male,37
male,56
male,48
male,39
male,50
male,50
female,37
male,37
male,38
male,65
female,38
female,37
male,37
female,48
female,45
female,40
male,49
male,35
female,49
male,49
male,57
male,47
female,36
female,58
female,36
male,59
female,70
male,48
male,57
male,48
male,67
male,30
male,35
male,46
male,57
female,39
male,39
female,29
male,46
male,58
male,66
male,40
male,40
male,48
male,37
male,38
male,29
male,29
male,50
male,37
male,40
male,45
male,36
male,47
male,48
male,36
male,38
male,29
male,38
male,35
male,37
female,46
female,39
male,47
male,38
male,48
male,36
male,49
male,36
male,55
male,30
male,38
female,48
female,37
male,48
male,36
male,39
male,58
male,65
male,50
male,48
male,45
male,40
male,58
male,59
male,47
female,56
male,65
male,47
male,49
male,46
female,37
male,57
male,40
male,49
male,58
female,46
male,36
male,39
female,45
male,49
male,59
male,55
male,39
male,60
male,49
male,49
female,37
male,40
male,47
male,47
male,56
male,36
female,66
female,28
male,38
male,38
male,56
male,60
male,37
male,66
male,60
male,30
male,39
male,48
female,36
male,25
male,38
male,55
male,37
male,38
male,57
male,77
male,35
male,56
male,39
male,45
male,39
male,48
male,58
female,47
female,57
male,39
male,37
male,30
male,30
male,47
male,35
male,36
male,36
male,39
male,40
female,40
male,46
male,38
male,38
female,37
male,58
male,45
male,48
male,38
male,29
female,40
male,46
female,38
female,57
male,48
male,55
male,45
female,35
male,28
male,35
male,46
female,30
male,49
male,47
male,50
female,59
female,37
male,65
male,50
female,37
male,39
male,46
male,65
male,57
male,49
male,37
male,49
male,36
male,57
male,68
male,65
male,30
male,46
male,40
male,48
male,40
male,35
male,40
male,39
male,28
male,39
male,66
