Book_Title,Book_Genre,Author,Publisher,Price(in Rubles),Age_Category
Дозоры : Последний Дозор. Новый Дозор. Шестой Дозор,"Отечественная фантастика, фэнтези, мистика","Лукьяненко, С. В.",АСТ,1198,Adult
Последний дракон : роман,"Зарубежная фантастика, фэнтези, мистика","Колфер, Й.",АСТ,510,Adult
Машина Времени ; Остров доктора Моро : романы,"Зарубежная фантастика, фэнтези, мистика","Уэллс, Г.","Азбука, Азбука-Аттикус",221,Adult
Шаровая молния,"Зарубежная фантастика, фэнтези, мистика",Лю Цысинь.,"Эксмо, Fanzon",918,Adult
"Человек-амфибия. Лучшее : повесть, роман","Отечественная фантастика, фэнтези, мистика","Беляев, А.","Азбука, Азбука-Аттикус",1156,Adult
Мессия Дюны ; Дети Дюны : фантастические романы,"Зарубежная фантастика, фэнтези, мистика","Герберт, Ф.",АСТ,867,Adult
Охотники Дюны : фантастический роман,"Зарубежная фантастика, фэнтези, мистика","Герберт, Б.",АСТ,1045,Adult
Война миров и другие романы,"Зарубежная фантастика, фэнтези, мистика","Уэллс, Г.","Иностранка, ИГ ""Азбука-Аттикус""",1011,Adult
Бог-Император Дюны : фантастический роман,"Зарубежная фантастика, фэнтези, мистика","Герберт, Ф.",АСТ,450,Adult
Функционал : Черновик ; Чистовик : фантастические романы,"Отечественная фантастика, фэнтези, мистика","Лукьяненко, С. В.",АСТ,833,Adult
Царица Проклятых : роман,"Зарубежная фантастика, фэнтези, мистика","Райс, Э.","Азбука, Азбука-Аттикус.",561,Adult
Марина : роман,"Зарубежная фантастика, фэнтези, мистика","Сафон, К. Р.",АСТ,391,Adult
Квантовый вор,"Зарубежная фантастика, фэнтези, мистика","Райаниеми, Х.","Эксмо, Fanzon",765,Adult
Изоморф. Магистр : роман,"Отечественная фантастика, фэнтези, мистика","Лисина, А.",АСТ,450,Adult
Глубина: Лабиринт отражений ; Фальшивые зеркала ; Прозрачные витражи : фантастические романы,"Отечественная фантастика, фэнтези, мистика","Лукьяненко, С. В.",АСТ,909,Adult
Академия на краю гибели,"Зарубежная фантастика, фэнтези, мистика","Азимов, А.",ЭКСМО,782,Adult
Ковен заблудших ведьм,"Отечественная фантастика, фэнтези, мистика","Гор, А.",ЭКСМО,714,Adult
"Человек-амфибия ; Человек, нашедший свое лицо : романы","Отечественная фантастика, фэнтези, мистика","Беляев, А. Р.","Азбука, Азбука-Аттикус",221,Adult
Досадийский эксперимент : роман,"Зарубежная фантастика, фэнтези, мистика","Герберт, Ф.",АСТ,289,Adult
Дюна : Битва при Коррине : фантастический роман,"Зарубежная фантастика, фэнтези, мистика","Герберт, Б.",АСТ,909,Adult
Тигана,"Зарубежная фантастика, фэнтези, мистика","Кей, Г. Г.","Эксмо, Fanzon",1632,Adult
"Маракотова бездна : роман, рассказы","Зарубежная фантастика, фэнтези, мистика","Дойль, А. К.","Иностранка, ИГ ""Азбука-Аттикус""",960,Adult
Сны богов и монстров : роман,"Зарубежная фантастика, фэнтези, мистика","Тейлор, Л.",АСТ,535,Adult
Подлинные имена и выход за пределы киберпространства : сборник,"Зарубежная фантастика, фэнтези, мистика","Виндж, В.",АСТ,246,Adult
"Лето, прощай : роман","Зарубежная фантастика, фэнтези, мистика","Брэдбери, Р.",ЭКСМО,280,Adult
Царица Проклятых : роман,"Зарубежная фантастика, фэнтези, мистика","Райс, Э.","Азбука, Азбука-Аттикус",323,Adult
Последнее волшебство ; Недобрый день ; Принц и паломница : романы,"Зарубежная фантастика, фэнтези, мистика","Стюарт, М.","Иностранка, ИГ ""Азбука-Аттикус""",935,Adult
Магия кошмара : сборник,"Зарубежная фантастика, фэнтези, мистика","Страуб, П.",АСТ,289,Adult
Сны Ктулху : сборник,"Зарубежная фантастика, фэнтези, мистика","Лавкрафт, Г. Ф.",АСТ,297,Adult
Кровавые девы,"Зарубежная фантастика, фэнтези, мистика","Хэмбли, Б.",ЭКСМО,603,Adult
"Извлечение троих : из цикла ""Темная Башня"" : роман","Зарубежная фантастика, фэнтези, мистика","Кинг, С.",АСТ,408,Adult
Литерсум. Проклятие музы,"Зарубежная фантастика, фэнтези, мистика","Розенбеккер, Л.",ЭКСМО,578,Adult
Полвойны,"Зарубежная фантастика, фэнтези, мистика","Аберкромби, Д.","Эксмо, Fanzon",824,Adult
Каузальный ангел : роман,"Зарубежная фантастика, фэнтези, мистика","Райаниеми, Х.","Эксмо, Fanzon",765,Adult
"Бесплодные земли : из цикла ""Темная башня"" : роман","Зарубежная фантастика, фэнтези, мистика","Кинг, С.",АСТ,578,Adult
Месть Тьмы. Танец мести : фантастический роман,"Отечественная фантастика, фэнтези, мистика","Тармашев, С. С.",АСТ,620,Adult
Пески Дюны : фантастический роман,"Зарубежная фантастика, фэнтези, мистика","Герберт, Б.",АСТ,595,Adult
Орудия смерти. Кн.6. Город Небесного огня : роман,"Зарубежная фантастика, фэнтези, мистика","Клэр, К.",АСТ,629,Adult
Затерянный мир : сборник,"Зарубежная фантастика, фэнтези, мистика","Дойл, А. К.",АСТ,195,Adult
Чумной остров,"Зарубежная фантастика, фэнтези, мистика","Хермансон, М.","Эксмо, Inspiria",586,Adult
Улитка на склоне : фантастическая повесть,"Отечественная фантастика, фэнтези, мистика","Стругацкий, А. Н.",АСТ,340,Adult
Ноги из глины,"Зарубежная фантастика, фэнтези, мистика","Пратчетт, Т.",ЭКСМО,476,Adult
Лорд с планеты Земля : фантастический роман,"Отечественная фантастика, фэнтези, мистика","Лукьяненко, С. В.",АСТ,705,Adult
Голем : роман,"Зарубежная фантастика, фэнтези, мистика","Майринк, Г.","Азбука, Азбука-Аттикус",306,Adult
Каструм Альбум : роман,Фантастика. Фэнтези. Мистика,"Стрельцова, А.",ЭКСМО,348,Adult
Темные отражения : роман,"Зарубежная фантастика, фэнтези, мистика","Бракен, А.",АСТ,365,Adult
Хроники времени. Хранители,"Отечественная фантастика, фэнтези, мистика","Невский, Д.",Медков,1232,Adult
Ужасы Фазбера. В бассейн!,"Зарубежная фантастика, фэнтези, мистика","Коутон, С.",ЭКСМО,595,Adult
Императоры иллюзий : фантастический роман,"Отечественная фантастика, фэнтези, мистика","Лукьяненко, С. В.",АСТ,595,Adult
Святой сатана,"Отечественная фантастика, фэнтези, мистика","Леонов, А.",ЭКСМО,408,Adult
