Book_Title,Author,Publisher,Age_Restriction,Rating,Price(in Rubles)
Империя проклятых,Джей Кристофф,АСТ,18+,4.8,1195
Система «Спаси-Себя-Сам» для Главного Злодея. Том 3,Тунсю Мосян,Эксмо,18+,4.7,1471
Четвертое крыло: роман,Ребекка Яррос,О2 Young adult книги,18+,4.3,1195
Ужасы Фазбера. В бассейн! (выпуск 1),Скотт Коутон,Эксмо,16+,4.0,671
Продажное королевство,Ли Бардуго,АСТ,18+,4.9,1287
Вегетация,Алексей Иванов,Альпина Паблишер,18+,4.1,901
Поиски утраченного завтра,Сергей Лукьяненко,АСТ,16+,4.7,873
Пикник на обочине,"Аркадий и Борис Стругацкие, Борис Стругацкий",АСТ,16+,4.3,339
Клатбище домашних жывотных,Стивен Кинг,АСТ,16+,4.4,671
Канашибари. Пока не погаснет последний фонарь. Том 1,"Ангелина Шэн, Вероника Шэн",О2 Young adult книги,16+,4.2,809
Понедельник начинается в субботу: сказка для научных работников младшего возраста,"Аркадий и Борис Стругацкие, Борис Стругацкий",АСТ,12+,4.1,367
Колесо Времени. Книга 14. Память Света,"Роберт Джордан, Брендон Сандерсон",Азбука,16+,5.0,1563
Благословение небожителей. Том 1,Тунсю Мосян,Эксмо,16+,4.4,1379
Наследница черного дракона,Анна Джейн,Clever,16+,4.3,413
Светлый пепел луны. Книга 1: роман,Тэнло Вэйчжи,АСТ,18+,4.9,735
Самайнтаун,Анастасия Гор,Эксмо,18+,4.7,965
Канашибари. Пока не погаснет последний фонарь. Том 2: роман,"Ангелина Шэн, Вероника Шэн",О2 Young adult книги,16+,4.4,809
Кэрри,Стивен Кинг,АСТ,16+,4.2,321
Трудно быть богом: фантастическая повесть,"Аркадий и Борис Стругацкие, Борис Стругацкий",АСТ,12+,4.2,339
Злодейский путь!.. Том 5,Эл Моргот,"Манн, Иванов и Фербер",16+,4.7,1287
Укрытие. Книга 3. Пыль,Хью Хауи,Азбука,16+,4.8,919
Дюна,Фрэнк Герберт,АСТ,16+,4.0,459
Безмолвное чтение. Том 2. Гумберт-Гумберт (лимитированное издание),Priest,Эксмо,18+,4.3,1241
Железное пламя,Ребекка Яррос,О2 Young adult книги,18+,4.4,1287
Сокровище,Трейси Вульф,Эксмо,18+,4.7,1057
Небесная собака. Спасение души несчастного. Том 2,Лин Няннян,Эксмо,16+,4.5,919
Дюна,Фрэнк Герберт,АСТ,16+,4.7,1379
Безмолвное чтение. Том 2. Гумберт Гумберт (стандартное издание),Priest,Эксмо,18+,3.9,1103
Разлука Орхидеи и Повелителя демонов,Цзюлу Фэйсян,АСТ,16+,4.8,873
Метро 2033,Дмитрий Глуховский,АСТ,18+,4.0,1379
Как поймать монстра. Круг второй,Арина Цимеринг,"Манн, Иванов и Фербер",16+,4.8,1103
Светлый пепел луны. Книга 1 (коллекционное издание),Тэнло Вэйчжи,АСТ,18+,4.4,1379
Принц Эльфхейма. Украденный наследник (#1),Холли Блэк,Эксмо,18+,4.8,735
Солярис,Станислав Лем,АСТ,12+,4.1,358
Мессия Дюны. Дети Дюны,Фрэнк Герберт,АСТ,16+,4.6,1471
Территория чудовищ. Путеводитель для осторожных туристов,Сара Брукс,Азбука,16+,3.8,919
Самая страшная книга. Заступа: Чернее черного,Иван Белов,АСТ,18+,5.0,873
Ресторан 06:06:06,Пом Ю Джин,О2 Young adult книги,16+,4.7,763
Сияние,Стивен Кинг,АСТ,16+,4.2,459
Война феникса и дракона (#6),Тянься Гуйюань,Эксмо,18+,4.9,1149
Наследник Ардена (подарочная трилогия),Софи Анри,Эксмо,18+,4.7,2299
Подарок ангела и другие рассказы,Анна Джейн,Clever,18+,4.9,533
Она и ее кот,"Наруки Нагакава, Макото Синкай",АСТ,16+,4.4,505
"""Зайчик"" и другие рассказы",Дмитрий Мордас,Эксмо,16+,4.3,643
Обитель Апельсинового Дерева,Саманта Шеннон,Азбука,16+,4.1,1241
Шестерка воронов,Ли Бардуго,АСТ,18+,4.3,735
Благословение небожителей. Том 2,Тунсю Мосян,Эксмо,18+,4.5,1379
Лес,Светлана Тюльбашева,Дом историй,16+,4.4,855
