Book_Title,Book_Genre,Author,Publisher,Price(in Rubles),Age_Category
Бумажный змей. Рассказы. Сказки,Современная литература. Проза,"Пермяк, Е. А.",АСТ,221,Kids
Во имя Великой Победы : стихи и рассказы о Великой Отечественной войне,Сборники разных жанров, ,"Махаон, Aзбука-Аттикус",535,Kids
Кому на Руси жить хорошо : поэма,Классическая литература. Поэзия,"Некрасов, Н. А.",Детская литература,408,Kids
Лесное эхо : рассказы,Современная литература. Проза,"Скребицкий, Г. А.",Стрекоза,272,Kids
Азбука : животный мир : из коллекции Государственного Эрмитажа,Развивающая литература для дошкольников, ,Арка,586,Kids
Детство ; Отрочество : повести. После бала ; Кавказский пленник : рассказы,Классическая литература. Проза,"Толстой, Л. Н.",АСТ,433,Kids
Душа грустит о небесах : стихотворения и поэмы,Современная литература. Поэзия,"Есенин, С. А.",Детская литература,365,Kids
"Бородино : стихотворения, поэма, сказка",Классическая литература. Поэзия,"Лермонтов, М. Ю.",РОСМЭН,195,Kids
Последняя битва : повесть из эпопеи Хроники Нарнии,Фантастика. Мистика. Фэнтези,"Льюис, К. С.",ЭКСМО,2210,Kids
Земля Санникова : научно-фантастический роман,Фантастика. Мистика. Фэнтези,"Обручев, В. А.",Детская литература,374,Kids
Алиса в Стране Чудес ; Алиса в Зазеркалье ; Алиса под землей,Проза,"Кэрролл, Л.",Альфа-Книга,1887,Kids
Пишем буквы : 4-5 лет : с наклейками (соответствует ФГОС),Развивающая литература для дошкольников,"Земцова, О. Н.","Махаон, Азбука-Аттикус",314,Kids
Дубровский : повесть,Классическая литература. Проза,"Пушкин, А. С.",Феникс,221,Kids
Голова профессора Доуэля ; Остров погибших кораблей : романы,Фантастика. Мистика. Фэнтези,"Беляев, А. Р.",АСТ,297,Kids
Прекрасная Маргарет : роман,Проза,"Хаггард, Г. Р.",НИГМА,1207,Kids
Твердая рука : роман,История. Приключения,"Эмар, Г.",НИГМА,1428,Kids
Краденое солнце : для детей до 3 лет,Современная литература. Поэзия,"Чуковский, К. И.",Омега,935,Kids
