Book_Title,Author,Publisher,Age_Restriction,Rating,Price(in Rubles)
Волшебник Изумрудного города,Александр Волков,АСТ,6+,4.7,597
Гравити Фолз. Дневник 3,Алекс Хирш,Эксмо,12+,4.0,2115
Коралина: повесть,Нил Гейман,АСТ,12+,4.2,689
Sonic. Нежелательные последствия. Комикс. Том 1,Йэн Флинн,Эксмо,12+,4.4,763
Северус. Глубочайшее исследование фигуры наизагадочнейшего зельевара Хогвартса,Лорри Ким,Эксмо,12+,4.0,919
Девочка с лисьим хвостом. Повесть. Том 1,Сон Вон Пхён,"Манн, Иванов и Фербер",6+,4.4,671
Ходячий замок,Диана Джонс,Азбука,,4.4,717
Букварь: Учебное пособие.,Надежда Жукова,Эксмо,,4.1,579
Хроники Нарнии (ил. П.Бейнс),Клайв Льюис,Эксмо,6+,4.2,1103
Агент на мягких лапах,Фрауке Шойнеманн,Эксмо,12+,4.3,579
Маленький принц (нов. обл.) (рис. автора),Антуан де Сент-Экзюпери,,,,349
Умная собачка Соня,Андрей Усачев,АСТ,0+,4.1,579
Гарри Поттер и Тайная комната,Джоан Кэтлин Роулинг,Азбука,6+,3.8,1057
Чебурашка. Официальная новеллизация,,АСТ,6+,3.8,505
Котенок Шмяк и Сырник. Большая книга приключений,Роб Скоттон,Clever,6+,4.7,551
Волшебник Изумрудного города,Александр Волков,АСТ,0+,4.4,499
Случайное путешествие во времени,"А Нань, Дай Ту",Азбука,6+,4.8,1149
Загадка закрытого ящика,Холли Вебб,,,,579
"Девочка, которая не видела снов",Сара Бет Дёрст,,,,597
Милый дом Чи. Том 1 (Chi's Sweet Home). Манга,Конами Каната,Азбука,0+,4.5,763
Стань диким!,Эрин Хантер,,,4.5,643
Minecraft. Мобиология,,Эгмонт Россия ЛТД,,4.1,717
100 тысяч почему,Виктор Альтшулер,АСТ,0+,3.9,1195
Маленькая злая книга,Магнус Мист,Эксмо,12+,4.3,643
Летний лагерь,Влад Райбер,Эксмо,16+,4.8,643
Мишка косолапый. Книжка-панорама с движущимися картинками,В. Дорофеева,Атберг 98,0+,4.9,219
Девочка с лисьим хвостом. Том 2,Сон Вон Пхён,"Манн, Иванов и Фербер",12+,4.5,671
Медвежонок Паддингтон и его друзья,Майкл Бонд,Азбука,0+,4.4,763
От А до Я. Рабочая тетрадь для детей 5-6 лет. ФГОС ДО,Елена Колесникова,Бином/Просвещение,,3.9,284
БОЛЬШАЯ КНИГА СКАЗОК ДЛЯ МАЛЫШЕЙ. ВСЕ СКАЗКИ ДЛЯ МАЛЫШЕЙ,,Проф-Пресс,0+,4.1,643
Гарри Поттер и узник Азкабана,Джоан Кэтлин Роулинг,Азбука,6+,3.9,1057
Букварь (мини),Надежда Жукова,Эксмо,,4.5,441
Болотница,Татьяна Мастрюкова,РОСМЭН,12+,4.3,717
"Девочка-капитан. История о том, куда зовет сердце",Ольга Клушина,ОКно,,4.7,597
Sonic. Судьба доктора Эггмана. Том 2,Йэн Флинн,Эксмо,6+,4.3,763
"Дневник Стива, застрявшего в Minecraft. Книга 1",Т. Дегтярёва,Эксмо,12+,4.1,459
Всё о Муми-троллях. Книга 1,Туве Янссон,Азбука,6+,4.0,1011
Гравити Фолз. Графический роман. Вып. 1,Алекс Хирш,Эксмо,12+,4.0,763
Игрушки,Агния Барто,Самовар,0+,4.1,179
"Раз - ступенька, два - ступенька. Математика для детей 5-7 лет. Часть 2","Людмила Петерсон, Надежда Холина",Просвещение,,4.2,367
"Раз - ступенька, два - ступенька... Математика для детей 5-7 лет. Часть 1","Людмила Петерсон, Надежда Холина",Просвещение,,3.9,367
Дядя Федор пес и кот (илл. Боголюбова),Эдуард Успенский,АСТ,,4.4,717
Любимые раскраски. Единороги и пони,,Феникс +,0+,4.8,159
Тайная опора: привязанность в жизни ребенка,Людмила Петрановская,АСТ,12+,4.0,551
Я считаю до десяти. Рабочая тетрадь для детей 5-6 лет. ФГОС ДО 2023,Елена Колесникова,ТЦ Сфера,0+,4.2,209
Колобок,,РОСМЭН,0+,4.8,179
"Стихи-болтушки для тех, кто учится говорить",Наталия Волкова,АСТ,0+,4.1,149
Плюшевая голова,Влад Райбер,Эксмо,16+,4.8,643
