Book_Title,Author,Publisher,Age_Restriction,Rating,Price(in Rubles)
Гравити Фолз. Дневник 3,Алекс Хирш,Эксмо,12+,4.0,2115
Коралина: повесть,Нил Гейман,АСТ,12+,4.2,689
Sonic. Нежелательные последствия. Комикс. Том 1,Йэн Флинн,Эксмо,12+,4.4,763
Северус. Глубочайшее исследование фигуры наизагадочнейшего зельевара Хогвартса,Лорри Ким,Эксмо,12+,4.0,919
Ходячий замок,Диана Джонс,Азбука,,4.4,717
Агент на мягких лапах,Фрауке Шойнеманн,Эксмо,12+,4.3,579
Загадка закрытого ящика,Холли Вебб,Эксмо,12+,4.5,579
"Девочка, которая не видела снов",Сара Бет Дёрст,Эксмо,12+,4.4,597
Маленькая злая книга,Магнус Мист,Эксмо,12+,4.3,643
Летний лагерь,Влад Райбер,Эксмо,16+,4.8,643
Девочка с лисьим хвостом. Том 2,Сон Вон Пхён,"Манн, Иванов и Фербер",12+,4.5,671
Болотница,Татьяна Мастрюкова,РОСМЭН,12+,4.3,717
"Девочка-капитан. История о том, куда зовет сердце",Ольга Клушина,ОКно,,4.7,597
"Дневник Стива, застрявшего в Minecraft. Книга 1",Т. Дегтярёва,Эксмо,12+,4.1,459
Гравити Фолз. Графический роман. Вып. 1,Алекс Хирш,Эксмо,12+,4.0,763
Плюшевая голова,Влад Райбер,Эксмо,16+,4.8,643
Дети леса. Превращение Карага (#1),Катя Брандис,Эксмо,12+,4.3,671
Растения против зомби. Апокалипсис на лужайке,Пол Тобин,АСТ,12+,4.1,763
Плачущий монстр,Влад Райбер,Эксмо,16+,5.0,643
Секрет еловых писем (#2),Фрауке Шойнеманн,Эксмо,12+,4.4,579
Призрак кошки,Холли Вебб,Эксмо,12+,4.7,579
Диппер и Мэйбл. Сокровища Пиратов Времени,,Эксмо,12+,4.3,809
Маленькая злая книга 6,Магнус Мист,Эксмо,12+,4.8,643
Пропавший изумруд,Холли Вебб,Эксмо,12+,4.5,579
Часодеи. Часовой ключ Книга 1,Наталья Щерба,РОСМЭН,12+,4.2,809
Маленькая злая книга 5,Магнус Мист,Эксмо,12+,4.7,643
Не открывать! Царапается!,Шарлотта Хаберзак,Эксмо,12+,5.0,717
Растения против зомби. Конец времён,Пол Тобин,АСТ,12+,4.3,735
Загадка сбежавшего сейфа (#3),Фрауке Шойнеманн,Эксмо,12+,4.5,579
Секретный ключ (#1),Лина Джонс,Эксмо,12+,4.6,625
Закулисье. Заговор безликих,Аллан Рексворд,Эксмо,16+,4.9,579
"Растения против зомби. Дом, милый дом",Пол Тобин,АСТ,12+,4.6,763
Маленькая злая книга 2,Магнус Мист,Эксмо,12+,4.5,643
Маленькая злая книга. Книга-адвент,Магнус Мист,Эксмо,12+,5.0,827
Египетский ребус,Холли Вебб,Эксмо,12+,4.2,579
Дневник Стива. Книга 2. Конёк-квадратноног,Т. Дегтярёва,Эксмо,12+,4.2,459
Тайна мальчика из джунглей,Холли Вебб,Эксмо,12+,4.7,579
Матушка Готель. История старой ведьмы,Серена Валентино,Эксмо,12+,4.1,643
Дело о невидимке (#7),Фрауке Шойнеманн,Эксмо,12+,4.6,579
Гравити Фолз. Забытые легенды. Графический роман.,Алекс Хирш,Эксмо,12+,4.2,1057
История с кладбищем: роман,Нил Гейман,АСТ,12+,4.0,827
Спайдервик. Хроники,"Холли Блэк, Тони ДиТерлицци",Азбука,12+,4.4,965
Маленькая злая книга. Головоломки,Магнус Мист,Эксмо,12+,4.6,459
Пророчество о драконятах,Туи Т. Сазерленд,АСТ,12+,4.3,689
Аид. История повелителя Подземного мира,Серена Валентино,Эксмо,12+,3.8,643
Секрет пролитых чернил,Холли Вебб,Эксмо,12+,4.7,579
Кричащая лестница (#1) (в оформлении Полины Dr. Graf),Джонатан Страуд,Эксмо,16+,4.5,625
"Уинстон, берегись! (#4)",Фрауке Шойнеманн,Эксмо,12+,4.7,579
