Автор,Количество книг,Список книг
Фрай Макс,63,"Болтливый мертвец, <br>Волонтеры вечности, <br>Чужак, <br>Лабиринт Мёнина, <br>Наваждения, <br>Наваждения, <br>Власть несбывшегося, <br>Темная сторона, <br>Простые волшебные вещи, <br>Тубурская игра, <br>Небеsное, zлодея, <br>Ключ из желтого металла, <br>Все сказки старого Вильнюса. Возможны варианты, <br>Чужак, <br>Дар Шаванахолы, <br>Простые волшебные вещи, <br>Обжора-хохотун, <br>Болтливый мертвец, <br>Горе господина Гро, <br>Все сказки старого Вильнюса. До луны и обратно, <br>Волна вероятности, <br>НяпиZдинг СЭНСЭЕ, <br>Волонтеры вечности, <br>Власть несбывшегося, <br>Ворона на мосту, <br>Лабиринт Менина, <br>Темная сторона, <br>Чужак. Репринтное издание, <br>Властелин Морморы, <br>Большая телега, <br>Чуб земли, <br>О любви и смерти, <br>Тяжелый свет Куртейна. Синий, <br>Одна и та же книга, <br>Лабиринты Ехо, <br>Сказки Нового Хельхейма, <br>Ветры, ангелы и люди, <br>Сказки старого Вильнюса VII, <br>Правила игры в человека, <br>Правила игры в человека, <br>Сказки старого Вильнюса VI, <br>Так берегись, <br>Власть несбывшегося, <br>Сказки старого Вильнюса, <br>Темная сторона, <br>Сказки старого Вильнюса V, <br>Сказки старого Вильнюса IV, <br>Мой Рагнарек, <br>Лабиринты Ехо. Книга 2., <br>Сказки старого Вильнюса III, <br>Тяжелый свет Куртейна (светлый). Зелёный Том 3, <br>Тяжелый свет Куртейна (темный). Зелёный Том 3, <br>Энциклопедия мифов К-Я, <br>Энциклопедия мифов А-К, <br>Новая Дикая Охота, <br>Третья сторона, <br>Тяжелый свет Куртейна. Зелёный, <br>Так берегись, <br>Неизвестным для меня способом, <br>Тяжелый свет Куртейна. Желтый, <br>Небеsное, zлодея, <br>Наперsники синея, <br>Карты на стол"
Стругацкий Аркадий Натанович,51,"Страна багровых туч, <br>Парень из преисподней, <br>Полдень, XXII век, <br>Сказка о Тройке, <br>Попытка к бегству. Далекая радуга., <br>Пикник на обочине, <br>Отель ""У погибшего альпиниста"", <br>Пикник на обочине, <br>Трудно быть богом. Понедельник начинается в субботу. Сказка о Тройке, <br>Понедельник начинается в субботу, <br>Град обреченный, <br>Трудно быть богом, <br>За миллиард лет до конца света, <br>Жук в муравейнике, <br>Волны гасят ветер, <br>Трудно быть богом, <br>Пикник на обочине, <br>Хищные вещи века, <br>Понедельник начинается в субботу, <br>Обитаемый остров, <br>Собрание сочинений 1964-1966, <br>Собрание сочинений 1964—1966, <br>Понедельник начинается в субботу, <br>Трудно быть богом, <br>Улитка на склоне, <br>Понедельник начинается в субботу, <br>Гадкие лебеди, <br>Обитаемый остров, <br>Понедельник начинается в субботу. Трудно быть богом. Пикник на обочине, <br>Полдень, XXII век, <br>Максим Каммерер, <br>Град обреченный, <br>Понедельник начинается в субботу. Сказка о Тройке., <br>Хромая судьба, <br>Улитка на склоне, <br>Отель ""У погибшего альпиниста"", <br>Собрание сочинений 1985-1990, <br>Собрание сочинений 1985-1990, <br>Собрание сочинений 1969-1973, <br>Собрание сочинений 1969-1973, <br>Забытый эксперимент, <br>Собрание сочинений 1955-1959, <br>Страна багровых туч, <br>Собрание сочинений 1979-1984, <br>Первые люди на первом плоту, <br>Парень из преисподней. Повесть о дружбе и недружбе, <br>Второе нашествие марсиан. Беспокойство, <br>Стажеры, <br>Сказка о Тройке. Сказка о Тройке - 2, <br>Поиск предназначения, <br>Собрание сочинений 1967-1968"
Толкин Джон Рональд Руэл,44,"Властелин Колец. Две твердыни, <br>Дети Хурина, <br>Властелин колец, <br>Властелин колец, <br>Властелин Колец. Возвращение короля, <br>Властелин колец. Хранители кольца, <br>Властелин колец. Хранители кольца, <br>Сильмариллион (с илл. Теда Несмита), <br>Властелин Колец. Две твердыни, <br>Братство кольца. Второе издание с иллюстрациями Дениса Гордеева, <br>Хоббит, <br>Сильмариллион, <br>Властелин Колец. Возвращение короля, <br>Хоббит, <br>Властелин Колец. Хранители Кольца, <br>Дети Хурина, <br>Дети Хурина, <br>Природа Средиземья, <br>Хоббит, <br>Две крепости. Второе издание с иллюстрациями Дениса Гордеева, <br>Хоббит, <br>Возвращение короля. Второе издание с иллюстрациями Дениса Гордеева, <br>Сильмариллион, <br>Сильмариллион, <br>Властелин колец, <br>Властелин колец. Две твердыни, <br>Властелин колец. Две твердыни, <br>Властелин колец, <br>Властелин колец, <br>Властелин колец. Возвращение короля, <br>Властелин колец. Возвращение короля, <br>Книга утраченных сказаний. Часть 2, <br>Книга утраченных сказаний. Часть 1, <br>Хоббит, <br>Хоббит, или туда и обратно (новое оформление) с иллюстрациями Дениса Гордеева, <br>Дети Хурина. Нарн и Хин Хурин, <br>Неоконченные предания Нуменора и Средиземья, <br>Властелин колец: Хранители кольца. Две твердыни. Возвращение короля, <br>Падение Гондолина, <br>Песни Белерианда, <br>Неоконченные предания Нуменора и Средиземья, <br>Властелин колец. Возвращение короля, <br>Сильмариллион, <br>Властелин колец"
Терри Пратчетт,39,"Ведьмы за границей, <br>Мрачный Жнец, <br>Роковая музыка, <br>Движущиеся картинки, <br>Роковая музыка, <br>Мерцание экрана. Сборник фантастических рассказов, <br>Поддай пару!, <br>Благие знамения, <br>Творцы заклинаний, <br>Народ, или Когда-то мы были дельфинами, <br>Стража! Стража! Подарочное издание с иллюстрациями Пола Кидби, <br>Изумительный Морис и его ученые грызуны, <br>Маленький свободный народец, <br>Вещие сестрички, <br>Поддай пару!, <br>Народ, или Когда-то мы были дельфинами, <br>Мор, ученик Смерти, <br>Благие знамения. Подарочное издание. Оформление Кроули, <br>Мрачный Жнец, <br>Санта-Хрякус, <br>Пехотная баллада, <br>Благие знамения, <br>Пастушья корона, <br>Поддай пару! Вор времени, <br>Кот без прикрас, <br>Интересные времена. Мелкие боги, <br>Благие знамения, <br>Благие знамения, <br>Ноги из глины. Патриот, <br>Ноги из глины. Патриот, <br>Благие знамения. Подарочное издание. Оформление Азирафаэля, <br>Правда, <br>Платье цвета полуночи, <br>Господин Зима, <br>Шляпа, полная неба, <br>И все-таки Черепаха Движется. Путеводитель по Плоскому миру, <br>Интересные времена. Мелкие боги, <br>Мерцание экрана. Сборник фантастических рассказов, <br>Мор, ученик Смерти"
Лукьяненко Сергей Васильевич,33,"Поиски утраченного завтра, <br>Предел, <br>Функционал: Черновик. Чистовик, <br>Шестой Дозор, <br>Черновик, <br>Дозоры: Последний Дозор. Новый Дозор. Шестой Дозор, <br>Порог, <br>Дозоры: Ночной Дозор. Дневной Дозор. Сумеречный Дозор, <br>Геном: Танцы на снегу. Геном (в новой редакции). Калеки, <br>Ночной Дозор, <br>Глубина: Лабиринт отражений. Фальшивые зеркала. Прозрачные витражи, <br>Форсайт, <br>Три дня Индиго, <br>Испытательный срок. Лучшая фантастика — 2025, <br>Лето волонтера, <br>Джамп. Звезды - холодные игрушки. Звездная Тень, <br>Сумеречный Дозор, <br>Месяц за Рубиконом, <br>Новый Дозор, <br>Геном: Танцы на снегу. Геном. Калеки, <br>Рыцари Сорока Островов, <br>Семь дней до Мегиддо, <br>Книга гор: Рыцари сорока островов. Лорд с планеты Земля. Мальчик и тьма., <br>Осенние визиты, <br>Дневной Дозор, <br>Прыжок, <br>Лабиринт отражений, <br>Линия грез, <br>Найти себя. Лучшая фантастика — 2023, <br>Последний Дозор, <br>Лорд с планеты Земля, <br>Чистовик, <br>Сумеречный Дозор"
Лия Арден,31,"Морана и Тень. Плетущая, <br>Комплект из двух книг (Двойник Запада и Пятый дракон), <br>Во главе конца, <br>Во главе кошмаров, <br>Во главе раздора, <br>Невеста Ноября, <br>Пятый Дракон, <br>Мара и Морок, <br>Двойник Запада, <br>Мара и Морок. 500 лет назад, <br>Мара и Морок. Особенная Тень, <br>Илос. Начало, <br>Мара и Морок. Трилогия (Подарочное издание), <br>Комплект Мара и Морок. Трилогия (комплект из трех книг), <br>Комплект Нити судьбы: трилогия+шоппер ""Лучше бы я сейчас читал, а не вот это вот всё..."", <br>Невеста Ноября. Подарочное издание, <br>Невеста Ноября, <br>Мара и Морок (формат клатчбук), <br>Мара и Морок. Особенная Тень (формат клатчбук), <br>Безупречная Луна, <br>Достойный высший суд, <br>Мара и Морок. 500 лет назад, <br>Мара и Морок, <br>Мара и Морок. Особенная Тень, <br>Золото в темной ночи, <br>Пятый Дракон (формат клатчбук), <br>Мара и Морок. 500 лет назад (формат клатчбук), <br>Во главе раздора (книга+блокнот), <br>Мара и Морок (книга+тетрадь), <br>Азиатская дилогия (комплект из двух книг: Двойник запада+Пятый дракон), <br>Комплект Илос. Начало. Подарочный бокс"
Силлов Дмитрий Олегович,30,"Закон Петербурга, <br>Закон Стрелка, <br>Закон ученого, <br>Закон Черного сталкера, <br>Закон юга, <br>Закон Припяти, <br>Закон Зоны, <br>Закон монолита, <br>Закон Москвы, <br>Закон Арены, <br>Закон ""дегтярева"", <br>Закон контролера, <br>Закон клыка, <br>Закон мутанта, <br>Закон Призрака, <br>Закон МКАД, <br>Закон шрама, <br>Закон сталкера, <br>Закон Выброса, <br>Закон Шухарта, <br>Закон Севера, <br>Закон бандита, <br>Закон торговца, <br>Закон кровососа, <br>Закон крови, <br>Закон хабара, <br>Закон Северо-Запада, <br>Закон свободы, <br>Закон Фукусимы, <br>Якудза"
Мосян Тунсю,29,"Система «Спаси-Себя-Сам» для Главного Злодея. Том 3, <br>""Благословение небожителей. Том 4-6"" (мягкий переплет), <br>Комплект Система «Спаси-Себя-Сам» для Главного Злодея 1-2-3 + шоппер ""Лучше бы я сейчас читал, а не вот это вот всё..."", <br>Благословение небожителей. Дунхуа. Полное коллекционное издание, <br>""Благословение небожителей. Том 4-6"" Комплект из 3-х книг, <br>Артбук «Цветок и меч. Мир дунхуа ""Благословение небожителей""», <br>Благословение небожителей. Том 3, <br>Благословение небожителей. Том 1, <br>""Благословение небожителей. Том 1-6"" Комплект из 6 книг (мягкий переплет), <br>Благословение небожителей. Том 6, <br>Система «Спаси-Себя-Сам» для Главного Злодея. Том 1, <br>Благословение небожителей. Том 5, <br>Благословение небожителей. Том 4, <br>Благословение небожителей. Том 2, <br>""Благословение небожителей. Том 1-6"" Комплект из 6 книг, <br>""Благословение небожителей. Том 1-3"" Комплект из 3-х книг, <br>Основатель Тёмного Пути. Маньхуа. Том 9, <br>Система ""Спаси-Себя-Сам"" для Главного Злодея. Том 2. (книга+тату), <br>Благословение небожителей. Том 2 (мягкий переплет), <br>Система ""Спаси-Себя-Сам"" для Главного Злодея. Том 2. (книга+тату+открытка), <br>Система ""Спаси-Себя-Сам"" для Главного Злодея. Том 2. (книга+тату+открытка+кардхолдер), <br>Основатель Тёмного Пути. Маньхуа. Том 8, <br>Основатель Тёмного Пути. Маньхуа. Том 7, <br>Основатель Тёмного Пути. Маньхуа. Том 6, <br>Основатель Тёмного Пути. Маньхуа. Том 5, <br>Основатель Тёмного Пути. Маньхуа. Том 4, <br>Основатель Тёмного Пути. Маньхуа. Том 3, <br>Основатель Тёмного Пути. Маньхуа. Том 2, <br>Основатель Тёмного Пути. Маньхуа. Том 1"
Лем Станислав,25,"Солярис. Эдем, <br>Солярис, <br>Формула Лимфатера, <br>Возвращение со звезд, <br>Непобедимый, <br>Солярис, <br>Эдем, <br>Осмотр на месте, <br>Сумма технологии, <br>Солярис, <br>Солярис, <br>Глас Господа, <br>Вторжение с Альдебарана, <br>Футурологический конгресс, <br>Сказки роботов, <br>Приключения Ийона Тихого, <br>Насморк, <br>Абсолютная пустота, <br>Рассказы о пилоте Пирксе, <br>Провокация, <br>Футурологический конгресс, <br>Кибериада, <br>Философия случая, <br>Расследование; Насморк, <br>Такое разное будущее"
Вадим Панов,24,"Высшая каста, <br>Высшая каста, <br>Трио неизвестности, <br>Не видя звёзд, <br>Ангел мертвеца, <br>Чужие игры: Противостояние, <br>Аркада. Эпизод третий. maNika, <br>Скопление неприятностей, <br>Искажение, <br>Наследие великанов, <br>Чужие игры: Столкновение, <br>Отражение, <br>Поцелуй Уробороса, <br>Жажда, <br>Тёмные церемонии, <br>Ангел мертвеца, <br>Самый главный приз, <br>Охота на горностая. Зеленый гамбит. Поцелуй Уробороса, <br>Кардонийская рулетка, <br>Последний адмирал Заграты, <br>Красные камни Белого, <br>Костры на алтарях, <br>Поводыри на распутье, <br>Московский клуб"
