gender,birth_year,education,relationship_status,children
Ж,1989,Нет данных,Нет данных,Нет данных
Ж,1983,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,1989,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Высшее,Нет данных,Нет данных
М,1986,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
М,1988,Нет данных,Нет данных,Нет данных
М,1986,Нет данных,Нет данных,Нет данных
Ж,1983,Высшее,женат,есть
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,1989,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,1989,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
Ж,1985,Высшее,не женат,Нет данных
М,Нет данных,Высшее,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,1987,Высшее,женат,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Высшее,Нет данных,Нет данных
М,1984,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Высшее,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,1981,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
М,1988,Нет данных,Нет данных,Нет данных
М,1987,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,1985,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
Ж,1982,Высшее,женат,Нет данных
М,1988,Высшее,не женат,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,1987,Высшее,Нет данных,Нет данных
М,1988,Нет данных,Нет данных,Нет данных
М,Нет данных,Высшее,женат,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,1987,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
М,1989,Высшее,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
Ж,2000,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
М,Нет данных,Нет данных,Нет данных,Нет данных
Ж,Нет данных,Нет данных,Нет данных,Нет данных
М,1985,Нет данных,Нет данных,Нет данных
М,1982,Нет данных,женат,есть
Ж,1989,Высшее,Нет данных,есть
М,Нет данных,Нет данных,Нет данных,Нет данных
М,1982,Нет данных,Нет данных,Нет данных
М,1984,Высшее,не женат,Нет данных
М,1985,Нет данных,Нет данных,Нет данных
